Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
TAT	"Tyrosine aminotransferase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TBCB	"Tubulin folding cofactor B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TBL1X	"Transducin beta like 1 X-linked"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TBL1XR1	"TBL1X/Y related 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TBXAS1	"Thromboxane A synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TCIRG1	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TDO2	"Tryptophan 2,3-dioxygenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TECR	"Trans-2,3-enoyl-CoA reductase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TECRL	"Trans-2,3-enoyl-CoA reductase like"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TENT2	"Terminal nucleotidyltransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TENT4A	"Terminal nucleotidyltransferase 4A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TFRC	"Transferrin receptor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TGDS	"TDP-glucose 4,6-dehydratase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TGM1	"Transglutaminase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TGM2	"Transglutaminase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TGM3	"Transglutaminase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TGM4	"Transglutaminase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TGM5	"Transglutaminase 5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TGM6	"Transglutaminase 6"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Evidence at protein level"
TGM7	"Transglutaminase 7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TGS1	"Trimethylguanosine synthase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TH	"Tyrosine hydroxylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
THNSL1	"Threonine synthase like 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
THOP1	"Thimet oligopeptidase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
THTPA	"Thiamine triphosphatase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TICRR	"TOPBP1 interacting checkpoint and replication regulator"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TIGAR	"TP53 induced glycolysis regulatory phosphatase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TIPARP	"TCDD inducible poly(ADP-ribose) polymerase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TK1	"Thymidine kinase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TK2	"Thymidine kinase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TKFC	"Triokinase and FMN cyclase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TKT	Transketolase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TKTL1	"Transketolase like 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TKTL2	"Transketolase like 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
TM7SF2	"Transmembrane 7 superfamily member 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TMEM91	"Transmembrane protein 91"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TMLHE	"Trimethyllysine hydroxylase, epsilon"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TMPPE	"Transmembrane protein with metallophosphoesterase domain"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TMX3	"Thioredoxin related transmembrane protein 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TNKS	Tankyrase	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TNKS2	"Tankyrase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TNNI3K	"TNNI3 interacting kinase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TNRC6B	"Trinucleotide repeat containing adaptor 6B"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TNS2	"Tensin 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TOMT	"Transmembrane O-methyltransferase"	"No human protein/transcript evidence"	"No human protein/transcript evidence"		
TOPORS	"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPH1	"Tryptophan hydroxylase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TPH2	"Tryptophan hydroxylase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPI1	"Triosephosphate isomerase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TPK1	"Thiamin pyrophosphokinase 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TPMT	"Thiopurine S-methyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPO	"Thyroid peroxidase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPP1	"Tripeptidyl peptidase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPR	"Translocated promoter region, nuclear basket protein"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPSAB1	"Tryptase alpha/beta 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPSB2	"Tryptase beta 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPSD1	"Tryptase delta 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
TPST1	"Tyrosylprotein sulfotransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPST2	"Tyrosylprotein sulfotransferase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TPTE2	"Transmembrane phosphoinositide 3-phosphatase and tensin homolog 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TRAF7	"TNF receptor associated factor 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRDMT1	"TRNA aspartic acid methyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TREH	Trehalase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TREX1	"Three prime repair exonuclease 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TREX2	"Three prime repair exonuclease 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TRHDE	"Thyrotropin releasing hormone degrading enzyme"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
TRIM11	"Tripartite motif containing 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRIM32	"Tripartite motif containing 32"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRIM33	"Tripartite motif containing 33"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRIM5	"Tripartite motif containing 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRIM63	"Tripartite motif containing 63"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TRIP12	"Thyroid hormone receptor interactor 12"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRIT1	"TRNA isopentenyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRMT1	"TRNA methyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRMT11	"TRNA methyltransferase 11 homolog"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TRMT12	"TRNA methyltransferase 12 homolog"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRMU	"TRNA mitochondrial 2-thiouridylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TRNT1	"TRNA nucleotidyl transferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TST	"Thiosulfate sulfurtransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TTC3	"Tetratricopeptide repeat domain 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TTL	"Tubulin tyrosine ligase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TUFM	"Tu translation elongation factor, mitochondrial"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TUSC3	"Tumor suppressor candidate 3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
TUT1	"Terminal uridylyl transferase 1, U6 snRNA-specific"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TUT4	"Terminal uridylyl transferase 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TUT7	"Terminal uridylyl transferase 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TXN	Thioredoxin	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TXN2	"Thioredoxin 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TXNRD1	"Thioredoxin reductase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TXNRD2	"Thioredoxin reductase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TXNRD3	"Thioredoxin reductase 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TYMP	"Thymidine phosphorylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TYMS	"Thymidylate synthetase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TYR	Tyrosinase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
TYRP1	"Tyrosinase related protein 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UAP1	"UDP-N-acetylglucosamine pyrophosphorylase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UAP1L1	"UDP-N-acetylglucosamine pyrophosphorylase 1 like 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBA1	"Ubiquitin like modifier activating enzyme 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBA2	"Ubiquitin like modifier activating enzyme 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBA3	"Ubiquitin like modifier activating enzyme 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBA6	"Ubiquitin like modifier activating enzyme 6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBA7	"Ubiquitin like modifier activating enzyme 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBAC2	"UBA domain containing 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2A	"Ubiquitin conjugating enzyme E2 A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2B	"Ubiquitin conjugating enzyme E2 B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2C	"Ubiquitin conjugating enzyme E2 C"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2D1	"Ubiquitin conjugating enzyme E2 D1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2D2	"Ubiquitin conjugating enzyme E2 D2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2D3	"Ubiquitin conjugating enzyme E2 D3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2D4	"Ubiquitin conjugating enzyme E2 D4 (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2E1	"Ubiquitin conjugating enzyme E2 E1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2E2	"Ubiquitin conjugating enzyme E2 E2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2E3	"Ubiquitin conjugating enzyme E2 E3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2F	"Ubiquitin conjugating enzyme E2 F (putative)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2G1	"Ubiquitin conjugating enzyme E2 G1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2G2	"Ubiquitin conjugating enzyme E2 G2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2H	"Ubiquitin conjugating enzyme E2 H"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2I	"Ubiquitin conjugating enzyme E2 I"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2J1	"Ubiquitin conjugating enzyme E2 J1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2J2	"Ubiquitin conjugating enzyme E2 J2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2K	"Ubiquitin conjugating enzyme E2 K"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2L3	"Ubiquitin conjugating enzyme E2 L3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2L6	"Ubiquitin conjugating enzyme E2 L6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2M	"Ubiquitin conjugating enzyme E2 M"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2N	"Ubiquitin conjugating enzyme E2 N"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2NL	"Ubiquitin conjugating enzyme E2 N like (gene/pseudogene)"	"Evidence at protein level"	"Evidence at protein level"		
UBE2O	"Ubiquitin conjugating enzyme E2 O"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2Q1	"Ubiquitin conjugating enzyme E2 Q1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2Q2	"Ubiquitin conjugating enzyme E2 Q2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2QL1	"Ubiquitin conjugating enzyme E2 Q family like 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2R2	"Ubiquitin conjugating enzyme E2 R2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2S	"Ubiquitin conjugating enzyme E2 S"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE2T	"Ubiquitin conjugating enzyme E2 T"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2U	"Ubiquitin conjugating enzyme E2 U"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2W	"Ubiquitin conjugating enzyme E2 W"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE2Z	"Ubiquitin conjugating enzyme E2 Z"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE3A	"Ubiquitin protein ligase E3A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE3B	"Ubiquitin protein ligase E3B"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBE3C	"Ubiquitin protein ligase E3C"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE4A	"Ubiquitination factor E4A"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBE4B	"Ubiquitination factor E4B"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBIAD1	"UbiA prenyltransferase domain containing 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBR1	"Ubiquitin protein ligase E3 component n-recognin 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBR2	"Ubiquitin protein ligase E3 component n-recognin 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UBR3	"Ubiquitin protein ligase E3 component n-recognin 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
UBR4	"Ubiquitin protein ligase E3 component n-recognin 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBR5	"Ubiquitin protein ligase E3 component n-recognin 5"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UBR7	"Ubiquitin protein ligase E3 component n-recognin 7"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UCK1	"Uridine-cytidine kinase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UCK2	"Uridine-cytidine kinase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UCKL1	"Uridine-cytidine kinase 1 like 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UCP1	"Uncoupling protein 1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UCP2	"Uncoupling protein 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UCP3	"Uncoupling protein 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGCG	"UDP-glucose ceramide glucosyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGDH	"UDP-glucose 6-dehydrogenase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGGT1	"UDP-glucose glycoprotein glucosyltransferase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGGT2	"UDP-glucose glycoprotein glucosyltransferase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGP2	"UDP-glucose pyrophosphorylase 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A1	"UDP glucuronosyltransferase family 1 member A1"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A10	"UDP glucuronosyltransferase family 1 member A10"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A3	"UDP glucuronosyltransferase family 1 member A3"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A4	"UDP glucuronosyltransferase family 1 member A4"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A5	"UDP glucuronosyltransferase family 1 member A5"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A6	"UDP glucuronosyltransferase family 1 member A6"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A7	"UDP glucuronosyltransferase family 1 member A7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A8	"UDP glucuronosyltransferase family 1 member A8"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT1A9	"UDP glucuronosyltransferase family 1 member A9"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2A1	"UDP glucuronosyltransferase family 2 member A1 complex locus"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2A3	"UDP glucuronosyltransferase family 2 member A3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
UGT2B10	"UDP glucuronosyltransferase family 2 member B10"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B11	"UDP glucuronosyltransferase family 2 member B11"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B15	"UDP glucuronosyltransferase family 2 member B15"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B17	"UDP glucuronosyltransferase family 2 member B17"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B28	"UDP glucuronosyltransferase family 2 member B28"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B4	"UDP glucuronosyltransferase family 2 member B4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UGT2B7	"UDP glucuronosyltransferase family 2 member B7"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UGT3A1	"UDP glycosyltransferase family 3 member A1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"
UGT3A2	"UDP glycosyltransferase family 3 member A2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"
UGT8	"UDP glycosyltransferase 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UHRF1	"Ubiquitin like with PHD and ring finger domains 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UHRF2	"Ubiquitin like with PHD and ring finger domains 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UMPS	"Uridine monophosphate synthetase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UPB1	"Beta-ureidopropionase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UPP1	"Uridine phosphorylase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UPP2	"Uridine phosphorylase 2"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UPRT	"Uracil phosphoribosyltransferase homolog"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UQCR10	"Ubiquinol-cytochrome c reductase, complex III subunit X"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UQCR11	"Ubiquinol-cytochrome c reductase, complex III subunit XI"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UQCRB	"Ubiquinol-cytochrome c reductase binding protein"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
UQCRC1	"Ubiquinol-cytochrome c reductase core protein 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UQCRC2	"Ubiquinol-cytochrome c reductase core protein 2"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UQCRFS1	"Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UQCRH	"Ubiquinol-cytochrome c reductase hinge protein"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UQCRQ	"Ubiquinol-cytochrome c reductase complex III subunit VII"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
URAD	"Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase"	"Evidence at transcript level"	"Evidence at transcript level"		
UROC1	"Urocanate hydratase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UROD	"Uroporphyrinogen decarboxylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
UROS	"Uroporphyrinogen III synthase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
USP1	"Ubiquitin specific peptidase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
